,userID,itemID,SIDO
0,e000004,미유 애월점,제주특별자치도
1,e000004,민오름,제주특별자치도
2,e000005,민락수변공원,부산
3,e000005,민락 회 타운 시장,부산
4,e000009,힐링파크쑥섬쑥섬,전남
5,e000010,밀리오레,서울
6,e000011,미유 애월점,제주특별자치도
7,e000011,민오름,제주특별자치도
8,e000013,미유 애월점,제주특별자치도
9,e000013,민오름,제주특별자치도
10,e000014,미유 애월점,제주특별자치도
11,e000014,민오름,제주특별자치도
12,e000015,미즈노 씨네 트리하우스,전북
13,e000016,미인폭포,강원
14,e000016,민우당 서림,강원
15,e000020,힐링파크쑥섬쑥섬,전남
16,e000022,힐링파크쑥섬쑥섬,전남
17,e000023,미인폭포,강원
18,e000023,민우당 서림,강원
19,e000039,미유 애월점,제주특별자치도
20,e000039,민오름,제주특별자치도
21,e000040,미유 애월점,제주특별자치도
22,e000040,민오름,제주특별자치도
23,e000041,미유 애월점,제주특별자치도
24,e000041,민오름,제주특별자치도
25,e000042,미유 애월점,제주특별자치도
26,e000042,민오름,제주특별자치도
27,e000043,밀리오레,서울
28,e000045,미유 애월점,제주특별자치도
29,e000045,민오름,제주특별자치도
30,e000046,미유 애월점,제주특별자치도
31,e000046,민오름,제주특별자치도
32,e000293,힐링파크쑥섬쑥섬,전남
33,e000294,미유 애월점,제주특별자치도
34,e000294,민오름,제주특별자치도
35,e000295,미유 애월점,제주특별자치도
36,e000295,민오름,제주특별자치도
37,e000296,미유 애월점,제주특별자치도
38,e000296,민오름,제주특별자치도
39,e000299,미유 애월점,제주특별자치도
40,e000299,민오름,제주특별자치도
41,e000302,미인폭포,강원
42,e000302,민우당 서림,강원
43,e000307,미인폭포,강원
44,e000307,민우당 서림,강원
45,e000311,힐링파크쑥섬쑥섬,전남
46,e000316,미즈노 씨네 트리하우스,전북
47,e000317,미인폭포,강원
48,e000317,민우당 서림,강원
49,e000319,미인폭포,강원
50,e000319,민우당 서림,강원
51,e000322,힐링파크쑥섬쑥섬,전남
52,e000323,미스틱 3도,제주특별자치도
53,e000323,민오름,제주특별자치도
54,e000329,미유 애월점,제주특별자치도
55,e000329,민오름,제주특별자치도
56,e000331,미인폭포,강원
57,e000331,민우당 서림,강원
58,e000334,힐링파크쑥섬쑥섬,전남
59,e000335,미인폭포,강원
60,e000335,민우당 서림,강원
61,e000336,미유 애월점,제주특별자치도
62,e000336,민오름,제주특별자치도
63,e000338,힐링파크쑥섬쑥섬,전남
64,e000340,밀리오레,서울
65,e000342,힐링파크쑥섬쑥섬,전남
66,e000344,미즈노 씨네 트리하우스,전북
67,e000345,미유 애월점,제주특별자치도
68,e000345,민오름,제주특별자치도
69,e000346,힐링파크쑥섬쑥섬,전남
70,e000347,미유 애월점,제주특별자치도
71,e000347,민오름,제주특별자치도
72,e000350,미유 애월점,제주특별자치도
73,e000350,민오름,제주특별자치도
74,e000353,미인폭포,강원
75,e000353,민우당 서림,강원
76,e000357,미유 애월점,제주특별자치도
77,e000357,민오름,제주특별자치도
78,e000360,미유 애월점,제주특별자치도
79,e000360,민오름,제주특별자치도
80,e000362,미인폭포,강원
81,e000362,민우당 서림,강원
82,e000364,힐링파크쑥섬쑥섬,전남
83,e000366,미인폭포,강원
84,e000366,민우당 서림,강원
85,e000369,민락수변공원,부산
86,e000369,민락 회 타운 시장,부산
87,e000371,미유 애월점,제주특별자치도
88,e000371,민오름,제주특별자치도
89,e000373,미인폭포,강원
90,e000373,민우당 서림,강원
91,e000375,미유 애월점,제주특별자치도
92,e000375,민오름,제주특별자치도
93,e000376,미유 애월점,제주특별자치도
94,e000376,민오름,제주특별자치도
95,e000379,미인폭포,강원
96,e000379,민우당 서림,강원
97,e000384,미인폭포,강원
98,e000384,민우당 서림,강원
99,e000385,미유 애월점,제주특별자치도
100,e000385,민오름,제주특별자치도
101,e000395,미유 애월점,제주특별자치도
102,e000395,민오름,제주특별자치도
103,e000396,미인폭포,강원
104,e000396,민우당 서림,강원
105,e000401,힐링파크쑥섬쑥섬,전남
106,e000403,밀란 더 마켓,부산
107,e000403,민락수변공원,부산
108,e000406,민락수변공원,부산
109,e000406,민락 회 타운 시장,부산
110,e000407,미유 애월점,제주특별자치도
111,e000407,민오름,제주특별자치도
112,e000409,미인폭포,강원
113,e000409,민우당 서림,강원
114,e000412,미인폭포,강원
115,e000412,민우당 서림,강원
116,e000418,미유 애월점,제주특별자치도
117,e000418,민오름,제주특별자치도
118,e000422,민락 회 타운 시장,부산
119,e000422,민락수변공원,부산
120,e000429,미인폭포,강원
121,e000429,민우당 서림,강원
122,e000430,미유 애월점,제주특별자치도
123,e000430,민오름,제주특별자치도
124,e000432,미유 애월점,제주특별자치도
125,e000432,민오름,제주특별자치도
126,e000435,미인폭포,강원
127,e000435,민우당 서림,강원
128,e000437,민락수변공원,부산
129,e000437,민락 회 타운 시장,부산
130,e000438,미쁜 제과,제주특별자치도
131,e000438,민오름,제주특별자치도
132,e000443,미유 애월점,제주특별자치도
133,e000443,민오름,제주특별자치도
134,e000445,미인폭포,강원
135,e000445,민우당 서림,강원
136,e000447,힐링파크쑥섬쑥섬,전남
137,e000448,미유 애월점,제주특별자치도
138,e000448,민오름,제주특별자치도
139,e000450,미인폭포,강원
140,e000450,민우당 서림,강원
141,e000453,미쁜 제과,제주특별자치도
142,e000453,민오름,제주특별자치도
143,e000454,미유 애월점,제주특별자치도
144,e000454,민오름,제주특별자치도
145,e000460,미유 애월점,제주특별자치도
146,e000460,민오름,제주특별자치도
147,e000463,미인폭포,강원
148,e000463,민우당 서림,강원
149,e000473,미인폭포,강원
150,e000473,민우당 서림,강원
151,e000474,미인폭포,강원
152,e000474,민우당 서림,강원
153,e000477,미유 애월점,제주특별자치도
154,e000477,민오름,제주특별자치도
155,e000479,힐링파크쑥섬쑥섬,전남
156,e000481,힐링파크쑥섬쑥섬,전남
157,e000482,미인폭포,강원
158,e000482,민우당 서림,강원
159,e000486,힐링파크쑥섬쑥섬,전남
160,e000490,민락수변공원,부산
161,e000490,민락 회 타운 시장,부산
162,e000491,미유 애월점,제주특별자치도
163,e000491,민오름,제주특별자치도
164,e000496,미유 애월점,제주특별자치도
165,e000496,민오름,제주특별자치도
166,e000500,미유 애월점,제주특별자치도
167,e000500,민오름,제주특별자치도
168,e000505,힐링파크쑥섬쑥섬,전남
169,e000506,민락수변공원,부산
170,e000506,민락 회 타운 시장,부산
