iter	RMSE
0	0.7577307179
1	0.7103121158
2	0.6701964192
3	0.6296896916
4	0.597399715
5	0.5703208087
6	0.5432969446
7	0.521801916
8	0.5022694153
9	0.4804210557
10	0.4610927328
11	0.4492640292
12	0.4396870214
13	0.4326228711
14	0.4221121876
15	0.4126922558
16	0.4060623998
17	0.3985355173
18	0.3902669003
19	0.3837015929
20	0.3790393829
21	0.3737900429
22	0.3697536878
23	0.3652400498
24	0.3608035237
25	0.3567252801
26	0.352709044
27	0.3493332183
28	0.3459326289
29	0.3427669932
30	0.3405667422
31	0.3373433009
32	0.3355549718
33	0.3331048742
34	0.3310502114
35	0.3289516788
36	0.3269379708
37	0.3246329014
38	0.3216753777
39	0.3197846776
40	0.3172726438
41	0.3152483563
42	0.3131424418
43	0.3097287792
44	0.3080627624
45	0.3070340866
46	0.3055763192
47	0.303847327
48	0.3028314317
49	0.3006978066
50	0.2984173755
51	0.2972658228
52	0.2958669017
53	0.2940523389
54	0.2923666145
55	0.2910664769
56	0.2891251864
57	0.2873901839
58	0.2866320406
59	0.2850630667
60	0.2828461227
