iter	Passed	Remaining
0	918	1055896
1	1481	850541
2	2052	784813
3	3170	908411
4	3700	847496
5	4181	797227
6	4790	782270
7	5245	748856
8	5674	719415
9	6161	702363
10	6669	690592
11	7111	674452
12	7540	659532
13	8047	653001
14	8616	652008
15	9132	647294
16	9560	637207
17	10070	633344
18	10642	633517
19	11091	626650
20	11663	627047
21	12228	627009
22	12770	625738
23	13434	630287
24	13942	627423
25	14552	629136
26	15203	632362
27	15852	635252
28	16430	635125
29	17137	639791
30	17809	642868
31	18480	645663
32	18978	642407
33	19609	643653
34	20257	645355
35	20956	648479
36	21545	648097
37	22202	649728
38	22827	650282
39	23501	652155
40	24154	653353
41	24694	651469
42	25243	649876
43	25953	652372
44	26571	652481
45	27099	650395
46	27698	650028
47	28220	647884
48	28778	646637
49	29422	647288
50	30065	647880
51	30525	644548
52	31081	643336
53	31534	640039
54	32157	640220
55	32780	640395
56	33352	639548
57	33935	638931
58	34454	637109
59	35040	636564
60	35489	633568
