TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e000013,해브펀캠핑어라운드,0,5,Y,,,4,,,경기 파주시 월롱면 도감로 130,경기 파주시 월롱면 위전리 89-1,,,,1,240000,
e_e000020,파로티아워터하우스,1,1,Y,,,1,,아고다,서울 중구 을지로 100,서울 중구 을지로2가 203,3101006.0,1114010500.0,2023-04-29 00:00,1,84375,파로티아 워터하우스 호텔
e_e000021,호텔헤르메스,1,1,N,,,2,,화성 헤르메스 호텔,경기 화성시 남양읍 역골로 9-28,경기 화성시 남양읍 남양리 2076-17,3210080.0,4159026221.0,2023-04-29 15:00,1,70000,숙박비
e_e000038,호텔 더 메이,1,1,Y,,,2,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2023-04-27 00:20,1,66000,월문호텔더메이
e_e000294,봉화회관,0,2,Y,,,2,,,경기 용인시 처인구 포곡읍 부곡로 21,경기 용인시 처인구 포곡읍 전대리 164-3,,,,1,25000,
e_e000294,봉화회관,1,2,Y,,,2,,두부마당,경기 용인시 처인구 포곡읍 포곡로 339,경기 용인시 처인구 포곡읍 삼계리 401-3,3203129.0,4146125021.0,2023-05-21 11:47,1,32000,
e_e000294,한화리조트 용인베잔송,1,4,Y,,,2,,한화호텔앤드리조트(주)용인,경기 용인시 처인구 남사읍 봉무로153번길 79,경기 용인시 처인구 남사읍 봉무리 257-1,4409448.0,4146125921.0,2023-05-19 17:13,1,54200,
e_e000294,한화리조트 용인베잔송,2,4,Y,,,2,,한화호텔앤드리조트(주),서울 중구 통일로 92,서울 중구 순화동 1-170,3000008.0,1114016800.0,2023-05-20 08:25,1,22000,
e_e000301,콘래드 서울,1,1,Y,,,2,,에스아이에프씨호텔디벨로프먼트 유한회사,서울 영등포구 국제금융로8길 10,서울 영등포구 여의도동 34-9,4154067.0,1156011000.0,2023-05-19 15:56,1,324500,숙박비
e_e000317,토요코인호텔 영등포점,0,1,Y,,,1,,,서울 영등포구 신길로 293,서울 영등포구 영등포동1가 106,,,,3,59000,
e_e000323,제이모텔,1,2,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2023-05-23 13:22,3,65000,수원 장안 제이
e_e000332,누누모텔,1,2,Y,,,2,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2023-05-19 18:25,1,65000,MO-미니룸
e_e000334,호텔스테이지79,1,1,Y,,,2,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2023-05-25 00:00,1,48000,의정부 STAGE79
e_e000336,켄싱턴호텔 여의도,1,1,Y,,,3,,아고다,,,,,,1,242100,숙박비
e_e000336,호텔엠펠리체,1,1,Y,,,3,,아고다,,,,,,1,138141,숙박비
e_e000344,롯데호텔월드,1,1,Y,,,3,,(주)롯데호텔 롯데월드,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,3123023.0,1171010100.0,2023-05-19 14:11,1,444675,숙박비
e_e000345,W미니호텔,1,2,Y,,,3,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2023-05-03 23:33,1,60000,MO-디럭스트윈(넷플릭스)
e_e000347,펠리스빌,0,11,N,,,1,,,644-19,,,,,4,50000,
e_e000352,신라스테이 광화문,0,1,Y,,,2,,,서울 종로구 삼봉로 71,서울 종로구 수송동 156,,,,4,270000,
e_e000366,라마다앙코르바이윈덤 김포한강호텔,1,1,Y,,,3,,(주)메이트아이,서울 강서구 마곡동로 55,서울 강서구 마곡동 774-12,3155046.0,1150010500.0,2023-05-17 15:01,1,175130,라마다 앙코르 바이 윈덤 김포
e_e000369,신라스테이 광화문,1,1,Y,,,1,,㈜야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2023-06-05 00:00,3,257400,신라스테이 광화문
e_e000371,힐스테이트에코마곡나루역오피스텔,0,1,N,,,1,,,서울 강서구 마곡중앙로 161-11,서울 강서구 마곡동 760-1,,,,3,70000,
e_e000381,트멍캠핑장,0,5,Y,,,4,,,경기 포천시 소흘읍 광릉수목원로 932-2,경기 포천시 소흘읍 무림리 94-1,,,,5,120000,
e_e000384,캠핑주막,1,5,Y,,,2,,여주 캠핑주막,경기 여주시 북내면 당전로 470,,3214016.0,4167036031.0,2023-02-06 09:29,1,120000,숙박비
e_e000385,어반티지 글램핑 카라반,0,5,Y,,,2,,,,인천 강화군 내가면 고천리 209,,,,3,250000,
e_e000387,에코유캠핑장,1,5,Y,,,4,,동두천 에코유캠핑장,경기 동두천시 천보산로359번길 57,경기 동두천시 탑동동 495-8,4367205.0,4125011100.0,2023-05-24 00:00,1,150000,숙박비
e_e000395,파크마린호텔,1,1,Y,,,3,,(주)티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007.0,1168010700.0,2023-03-06 00:00,1,172050,"(국내숙박 슈퍼위크) 인천 파크마린 호텔 루프탑 수영장 오픈 기념 특가 키즈 / 성인 패키지 , ~6/30까지"
e_e000396,파라다이스시티,0,1,Y,,,2,,,인천 중구 영종해안남로321번길 186,인천 중구 운서동 2874,,,,1,543400,
e_e000397,동두천자연휴양림 복층4호,0,9,Y,,,3,,,산16,,,,,1,200000,
e_e000403,쉐르빌온천관광호텔,1,1,Y,,,3,,아고다,,,,,2023-05-18 00:00,1,103370,숙박비
e_e000412,호텔도노,0,1,Y,,,1,,,경기 수원시 팔달구 신풍로 68,경기 수원시 팔달구 장안동 30-6,,,,1,81626,
e_e000418,포천자연마을 서울캠핑장,1,5,Y,,,3,,경기도 포천 자연마을 서울캠핑장,경기 포천시 관인면 북원로 371-115,,3000133.0,4165040026.0,2023-06-03 00:00,1,25300,"(텐트 제공,전 국민 예약)포천 서울캠핑장"
e_e000422,포포인츠 바이 쉐라톤 조선 서울명동,1,1,Y,,,1,,(주)조선호텔앤리조트 포포인즈 조선,서울 중구 삼일대로10길 36,서울 중구 저동2가 89,4103168.0,1114016100.0,2023-06-04 14:45,1,130438,숙박비
e_e000422,포포인츠 바이쉐라톤 서울구로,1,1,Y,,,1,,와이씨앤티(주)포포인츠 바이 쉐라톤,서울 구로구 디지털로32길 72,서울 구로구 구로동 1128-1,4148337.0,1153010200.0,2023-06-05 17:47,1,150920,
e_e000430,호텔아띠,1,2,Y,,,1,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2023-05-23 22:08,1,35000,"MO-준특실(넷플릭스,디즈니)"
e_e000430,호텔코고라,1,2,Y,,,1,,,,,,,2023-05-19 00:00,3,80000,숙박비
e_e000432,포포인츠바이쉐라톤 수원호텔,1,1,Y,,,2,,포포인트바이쉐라톤,경기 수원시 팔달구 효원로307번길 27,경기 수원시 팔달구 인계동 1122-8,4328473.0,4111514100.0,2023-05-21 17:34,1,215600,숙박비
e_e000438,나인트리프리미어호텔 인사동,1,1,Y,,,4,,(주)위메프,서울 강남구 영동대로 502,,2122002.0,1168010500.0,2023-04-01 01:05,1,525600,나인트리 프리미어 호텔 인사동
e_e000438,나인트리프리미어호텔 인사동,3,1,Y,,,4,,파르나스호텔 주식회사,서울 종로구 인사동길 49,,4100259.0,1111012800.0,2023-05-27 16:25,1,30000,
e_e000445,세인트펜션,1,3,Y,,,2,, 주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2023-05-13 00:45,1,124000,포천 세인트펜션(애견 허브5분 불멍)
e_e000448,숙소,0,10,N,,,3,,,신현리 258-2,,,,,4,0,
e_e000451,Capsule 24,0,7,Y,,,3,,,부평구 육동로 7,,,,,1,75000,
