TRAVEL_ID,TRAVELER_ID,TRAVEL_PURPOSE
e_e000004,e000004,3
e_e000006,e000006,21
e_e000009,e000009,2;4
e_e000010,e000010,3;6
e_e000011,e000011,1;21
e_e000013,e000013,1;22;24;6
e_e000014,e000014,2
e_e000015,e000015,7
e_e000016,e000016,1;22;4
e_e000018,e000018,2;11
e_e000020,e000020,28;21
e_e000021,e000021,24
e_e000022,e000022,22;25
e_e000023,e000023,4
e_e000025,e000025,22
e_e000030,e000030,21
e_e000037,e000037,22
e_e000038,e000038,21;22;23
e_e000039,e000039,2
e_e000040,e000040,3;4
e_e000041,e000041,4;7
e_e000042,e000042,12;24;5
e_e000045,e000045,25
e_e000046,e000046,5
e_e000293,e000293,1;22;4;6
e_e000294,e000294,1;2;23;26
e_e000296,e000296,9;11;21;26;1;22;23
e_e000299,e000299,3;6
e_e000301,e000301,22;23;26;4
e_e000302,e000302,2;21;22;26
e_e000307,e000307,3
e_e000311,e000311,2;22;26;5
e_e000317,e000317,1;12;4;5;7
e_e000319,e000319,1;12;24;5;6
e_e000322,e000322,1;24;3;5;6
e_e000323,e000323,22;26;1;2;4
e_e000329,e000329,1;12;7;9
e_e000331,e000331,1;2
e_e000332,e000332,1;2;5;7;9
e_e000334,e000334,1;22;26;6;9
e_e000336,e000336,3;11;23;26
e_e000338,e000338,21;22;24;26;6
e_e000342,e000342,1;21;22;24;4
e_e000344,e000344,1;12;2;3;6
e_e000345,e000345,22;6;9
e_e000346,e000346,21;22;24
e_e000347,e000347,2;4;8
e_e000350,e000350,1;2;22
e_e000352,e000352,22;23;6;7
e_e000353,e000353,1;22;6
e_e000355,e000355,1;11;2;6
e_e000357,e000357,1
e_e000360,e000360,21;22;24;26;9
e_e000362,e000362,1;2;22;5;8
e_e000364,e000364,1;3;6
e_e000366,e000366,2;5;6;8;9
e_e000369,e000369,1;3;6
e_e000371,e000371,1;11;4;7;9
e_e000373,e000373,21;24;26;4
e_e000375,e000375,26;6;11;8;21;22;28;2
e_e000376,e000376,3;4;22
e_e000377,e000377,1;11;21;22;6
e_e000379,e000379,11
e_e000381,e000381,22;24;26;5;8
e_e000384,e000384,21;22;25;3;8
e_e000385,e000385,8
e_e000387,e000387,2;27;5;7;8
e_e000395,e000395,1;2;22;23;4
e_e000396,e000396,23
e_e000397,e000397,21;22;24;6
e_e000400,e000400,21;22;24;26
e_e000403,e000403,10;21;22;6
e_e000406,e000406,11;2;24;3;9
e_e000407,e000407,2;21;22;24;26
e_e000409,e000409,2;21;26;22
e_e000412,e000412,1;3;6;22
e_e000418,e000418,8;22;5
e_e000422,e000422,1;11;22;3;4
e_e000425,e000425,22
e_e000429,e000429,1;4;22;6
e_e000430,e000430,1;2;4;5;7;10;21;22;24;26
e_e000432,e000432,1;22;23;4;5
e_e000433,e000433,2;22;26;4;8
e_e000435,e000435,11;2
e_e000438,e000438,1;12;3;4;6
e_e000445,e000445,21;22;24;25;8
e_e000447,e000447,1;2;3;4;6;8;9;10;11;12;13;21;22;23;24;26;27
e_e000448,e000448,22;3;5
e_e000450,e000450,1;2
e_e000451,e000451,2;23;5;9
e_e000453,e000453,11;26;3;4;6
e_e000454,e000454,21;22;24;26;27
e_e000460,e000460,1;4;5;6;9
e_e000466,e000466,2;8
e_e000469,e000469,1;11;22;7;8
e_e000472,e000472,1;4;7;23;22
e_e000473,e000473,1;22;26;27;4
e_e000474,e000474,1;23;27;28
e_e000477,e000477,1;21;22;8;9
e_e000479,e000479,4
e_e000480,e000480,22;27;28;5
e_e000481,e000481,1;2;22;6
e_e000482,e000482,1;23
e_e000483,e000483,10;2;22
e_e000486,e000486,1;2;27;4;6
e_e000490,e000490,22;26;27;6
e_e000491,e000491,12;21;22;24;8
e_e000492,e000492,1;4;10;26;22
e_e000496,e000496,1;2;22;23;4
e_e000500,e000500,21;22;24;26;27
e_e000504,e000504,21;27;28
e_e000505,e000505,22;3;4
e_e000507,e000507,1;4
e_e000509,e000509,23;3;1;9;6;26
e_e000510,e000510,13;21;22;26;3
e_e000514,e000514,11;2;6
e_e000521,e000521,1;2;22;26
e_e000523,e000523,11;2;22;6;9
e_e000524,e000524,2;11;22
e_e000525,e000525,10;21;22;24;26
e_e000526,e000526,1;4;5;6;7
e_e000531,e000531,25;2;22
e_e000533,e000533,21;22;26
e_e000535,e000535,1;22
e_e000536,e000536,1;2;5;9;11;21;22;26
e_e000540,e000540,2;23
e_e000541,e000541,11;22;3;4;6
e_e000544,e000544,11;22;9
e_e000546,e000546,1;2;3;7;6;4;10;22;24;26
e_e000547,e000547,2;22;5
e_e000548,e000548,5;27
e_e000550,e000550,1;12;21;3;4
e_e000552,e000552,22;27;3;6
e_e000556,e000556,21;22;26;4;6
e_e000557,e000557,2;22;5
e_e000560,e000560,8
e_e000561,e000561,1;21;3;4;6
e_e000563,e000563,1;22;26;4;7
e_e000564,e000564,10;2;5
e_e000566,e000566,1;22;6
e_e000567,e000567,11;22;27;3;6
e_e000569,e000569,2
e_e000579,e000579,12;21;22;24;27
e_e000584,e000584,1;4
e_e000590,e000590,2;22;23;3;5
e_e000591,e000591,1;6;22;26
e_e000594,e000594,1;27;7;5;8;9
e_e000595,e000595,2;22;23;6;9
e_e000597,e000597,2;6;11;24;6;27;22
e_e000599,e000599,2;23;3;4;6
e_e000602,e000602,1;2;4;5;6
e_e000603,e000603,1;13;2;3
e_e000604,e000604,1;11;2;5;6
e_e000605,e000605,1;2;25;4;6
e_e000607,e000607,2;21;22;6
e_e000608,e000608,1;11;22;9
e_e000609,e000609,2;22
e_e000612,e000612,2;21;22;24
e_e000615,e000615,22;6;9
e_e000618,e000618,21;22;23;3;6
e_e000620,e000620,1;21;22;24
e_e000621,e000621,1;10;21;3
e_e000622,e000622,21;22;24;26;27
e_e000623,e000623,11;2;5;8
e_e000625,e000625,1;22;26
e_e000627,e000627,1;12;21;23;9
e_e000628,e000628,1;2;23;5;9
e_e000637,e000637,2
e_e000639,e000639,21;27;28
e_e000640,e000640,5
e_e000641,e000641,11;2;22
e_e000644,e000644,1;5;8
e_e000645,e000645,22
e_e000646,e000646,1;27;24;22;2
e_e000647,e000647,1;11;4;5;7
e_e000648,e000648,8;21
e_e000650,e000650,1;21;22;3;6
e_e000651,e000651,21;24;26;27;8
e_e000655,e000655,2;21;22;24;27
e_e000662,e000662,1;4;6
e_e000664,e000664,11;2;21;22;4
e_e000666,e000666,21;5;4;1;24;25;26
e_e000669,e000669,11;6;8
e_e000672,e000672,24;28
e_e000673,e000673,1;2;21;4;7
e_e000680,e000680,1;23;27;4;6
e_e000682,e000682,1;2;3;5;6
e_e000686,e000686,2
e_e000689,e000689,1;4;6;5;22
e_e000691,e000691,26;6
e_e000693,e000693,12;2;21;22;4
e_e000695,e000695,6;22;4;24
e_e000696,e000696,11;9
e_e000699,e000699,1;2;21;4;5
e_e000700,e000700,1;2;3;4;5
e_e000704,e000704,6;26;24
e_e000705,e000705,1;5;6;7;9
e_e000706,e000706,2
e_e000707,e000707,2;21;8
e_e000709,e000709,11;2;21;22
e_e000710,e000710,22;24;8
e_e000715,e000715,24;8;2;1;6;5;4;3;7;9;10;11;12;13;21;22;23;25;26;27;28
e_e000717,e000717,2;22
e_e000718,e000718,22;24;3;4;6
e_e000733,e000733,24;25;26;27;28
e_e000734,e000734,1;10;13;28;3
e_e000737,e000737,1;28;5
e_e000738,e000738,1;21;22;3
e_e000743,e000743,1;4;7
e_e000745,e000745,24;21;2;11
e_e000746,e000746,2;5;6
e_e000747,e000747,24;4;6;8;9
e_e000748,e000748,1;22;26
e_e000751,e000751,3;6;5;2
e_e000752,e000752,1;21;22;3;4
e_e000760,e000760,5;1;22
e_e000761,e000761,2;21;5
e_e000762,e000762,21;22;28;5;7
e_e000765,e000765,1;2;3;9;11;5;6;4;12;21;23;22;24;25;27;28;26
e_e000767,e000767,1;22;24;27;28
e_e000768,e000768,21;22
e_e000771,e000771,10;22;24
e_e000774,e000774,22;9
e_e000782,e000782,22
e_e000785,e000785,10;2;21
e_e000787,e000787,22;24;26;4
e_e000789,e000789,1
e_e000791,e000791,2;22;3;6
e_e000793,e000793,1;21;4;9
e_e000794,e000794,1;2;3;4;6
e_e000801,e000801,1;10;2;4;5
e_e000802,e000802,1;2;4
e_e000803,e000803,6;2
e_e000804,e000804,5;6;1;22;24;26
e_e000805,e000805,11;22;6
e_e000807,e000807,22;6
e_e000810,e000810,1;22;26;27;4
e_e000811,e000811,1;2;21;4;9
e_e000812,e000812,11;2;22;26;6
e_e000817,e000817,8;27
e_e000818,e000818,25;21;24;26;22
e_e000826,e000826,3;5;8;22;26;21;27;6
e_e000828,e000828,1;3;4;6;9
e_e000830,e000830,2;5;22;1
e_e000831,e000831,1;11;4;5;6
e_e000838,e000838,1;2;3;5;7
e_e000840,e000840,1;2;27;5;8
e_e000841,e000841,3;6;12;22;23;26
e_e000844,e000844,1;2;22;23;26
e_e000849,e000849,1;2;22
e_e000850,e000850,3;11;22;6;21;26;4
e_e000852,e000852,22
e_e000854,e000854,1;23;27;28;4
e_e000856,e000856,1;3;6;11;21;24;27;26;12
e_e000859,e000859,1;22;3;4;6
e_e000861,e000861,5;4;23;3;6
e_e000863,e000863,1;4;23
e_e000865,e000865,21;23;24;26;27
e_e000872,e000872,11;27;28;8
e_e000875,e000875,6
e_e000877,e000877,2;21;24;5;8
e_e000882,e000882,21;22;26;7
e_e000883,e000883,1;21;9
e_e000886,e000886,2;22;26;27
e_e000889,e000889,3;7
e_e000902,e000902,22;23;26;4;5
e_e000906,e000906,21;22;4;5;8
e_e000907,e000907,1;21;22;24;26
e_e000910,e000910,21;23;28
e_e000914,e000914,1;9
e_e000917,e000917,22;23;4;5;6
e_e000919,e000919,27;5
e_e000930,e000930,23;3;4
e_e000932,e000932,12;21;22;26
e_e000935,e000935,11;27;3;6
e_e000936,e000936,1;11;22;5;9
e_e000938,e000938,2;1;22;9;11;5
e_e000942,e000942,22;7;8
e_e000946,e000946,1;2;3;4;5
e_e000947,e000947,2
e_e000949,e000949,1;11;2;22;6
e_e000950,e000950,8
e_e000951,e000951,12;28;3;6
e_e000955,e000955,21;22;4;6
e_e000956,e000956,22;27;6
e_e000959,e000959,1;21;28;3;4
e_e000961,e000961,1;2;25;24;21;7
e_e000962,e000962,1;5
e_e000964,e000964,22;26;27
e_e000966,e000966,1;22
e_e000967,e000967,28;22;26;3;6;1;10
e_e000969,e000969,1;3;6
e_e000973,e000973,8
e_e000976,e000976,1;11;2;6;9
e_e000983,e000983,2;6
e_e000984,e000984,1;22;26
e_e000986,e000986,1;2;21;22;24
e_e000987,e000987,1;11
e_e000992,e000992,11;1
e_e000993,e000993,1;5;4;6;26;22;1;1;1;1;1;1
e_e000994,e000994,2;5
e_e000995,e000995,1;2;3;4;6
e_e000996,e000996,1;2;3;4;5
e_e000997,e000997,1;22;26;8
e_e000998,e000998,1;24;5;8;27;22;21;4;2
e_e000999,e000999,1;21;22;4;5
e_e001001,e001001,1;27;10;9;8;7;22;26;23;24;28;3;2;4;5;21
e_e001009,e001009,22;23;6
e_e001012,e001012,1;22;4
e_e001013,e001013,21;22;25
e_e001014,e001014,8;22;21;26;27
e_e001019,e001019,1;2;3;4;5
e_e001022,e001022,1;2;22;4
e_e001023,e001023,1;2;22;26
e_e001024,e001024,1;2;22;23;6
e_e001025,e001025,22;8;24
e_e001026,e001026,2;22;9
e_e001029,e001029,1;2;26;6
e_e001030,e001030,23
e_e001031,e001031,22;8
e_e001032,e001032,1;4;3;21;22;28;26;6
e_e001040,e001040,1;2;22;4
e_e001041,e001041,2;23;24
e_e001045,e001045,1;3;4;6;11;21;22;26;27
e_e001049,e001049,23;22
e_e001052,e001052,22;24
e_e001057,e001057,22;4
e_e001059,e001059,1;2;22;23;26
e_e001060,e001060,1;2;22;23;5
e_e001061,e001061,4;1;26;22
e_e001063,e001063,1
e_e001068,e001068,21;22;5;6;8
e_e001069,e001069,24
e_e001070,e001070,2;22
e_e001071,e001071,1;22;25
e_e001079,e001079,1;22
e_e001081,e001081,3;21;22
e_e001084,e001084,21;3
e_e001093,e001093,22;28;3;4;9
e_e001097,e001097,6
e_e001098,e001098,12;22;26
e_e001103,e001103,23
e_e001104,e001104,1;6;22
e_e001108,e001108,21;6
e_e001110,e001110,2;6
e_e001113,e001113,1;22;24;4;6
e_e001114,e001114,1;21;22;4
e_e001117,e001117,2;21;22;8;9
e_e001118,e001118,24;3
e_e001124,e001124,2;22;4
e_e001125,e001125,1;2;22;4;9
e_e001126,e001126,22;5
e_e001127,e001127,11;22
e_e001130,e001130,22;28
e_e001131,e001131,22;21;27;3;1;12;28;13;7
e_e001132,e001132,21;22;8
