TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e000003,41,남,40,3,2,2,6,3,1,2,2,6,2,3,3
e000004,41,남,40,5,3,5,4,5,4,2,5,1,3,,2
e000005,30,여,30,4,1,1,1,1,4,7,7,7,1,2,1
e000006,11,남,30,3,3,2,4,5,4,3,2,1,2,3,1
e000009,28,여,30,3,2,3,3,2,6,4,7,3,1,2,1
e000010,48,여,30,5,4,3,2,5,4,5,3,8,1,2,0
e000011,48,여,60,3,3,3,4,2,4,6,6,3,7,1,3
e000013,45,여,20,6,1,1,2,6,2,1,2,3,1,2,3
e000014,28,남,60,3,3,2,2,2,4,2,6,3,9,1,2
e000015,45,남,20,6,3,3,4,3,6,6,5,3,1,10,1
e000016,11,남,30,2,6,2,4,5,6,6,1,1,4,2,0
e000018,41,여,40,2,1,2,7,4,1,2,2,1,7,8,2
e000020,11,여,40,5,2,2,3,5,3,4,2,2,1,4,0
e000021,11,남,20,6,2,6,2,2,2,6,2,2,3,7,1
e000022,11,남,40,1,1,4,3,1,6,6,6,3,2,1,1
e000023,28,남,60,4,1,2,1,1,4,5,1,3,8,7,2
e000025,11,여,40,2,6,6,2,2,6,6,1,3,1,2,2
e000030,11,남,50,2,7,1,5,2,6,5,3,5,1,2,0
e000037,11,여,30,4,3,1,1,4,4,4,4,4,2,7,0
e000038,11,남,30,3,2,3,2,2,4,5,3,2,4,7,1
e000039,11,남,40,1,6,2,3,3,3,3,2,3,1,7,1
e000040,41,남,30,2,2,4,5,6,4,2,3,3,2,8,1
e000041,11,남,60,4,2,4,2,2,4,5,3,2,,,1
e000042,11,여,20,1,1,1,3,2,1,6,5,1,3,7,1
e000043,43,남,30,7,4,5,3,5,6,3,2,2,1,4,0
e000045,41,여,60,3,3,5,4,2,6,2,6,2,1,3,1
e000046,41,남,60,1,4,3,4,6,5,1,4,6,1,3,3
e000191,11,남,30,1,1,1,4,4,3,4,4,3,6,2,4
e000293,44,여,30,3,1,2,4,2,4,1,4,1,2,7,0
e000294,45,여,20,2,1,4,4,2,4,5,1,3,2,1,1
e000295,11,남,20,4,3,4,3,4,6,6,7,3,1,2,12
e000296,41,여,30,2,2,2,1,2,2,7,6,4,7,1,0
e000299,50,여,50,4,2,2,5,3,2,2,6,8,7,1,0
e000301,28,남,20,2,2,1,3,5,3,3,6,5,2,3,1
e000302,27,여,20,2,3,3,3,6,5,6,6,2,,,0
e000305,11,남,30,1,1,1,1,1,1,1,1,1,3,2,3
e000307,28,남,30,1,4,4,4,1,4,2,6,7,8,1,0
e000311,11,남,30,2,3,3,2,3,2,2,6,1,7,2,2
e000316,47,여,20,5,6,6,5,4,5,6,2,1,3,2,1
e000317,41,남,30,5,6,5,4,5,5,4,4,6,7,8,0
e000319,28,여,50,4,3,3,5,3,2,2,2,1,8,2,0
e000322,28,남,60,3,3,3,4,2,4,2,4,1,8,2,0
e000323,11,여,20,4,2,2,4,3,6,6,7,9,3,1,1
e000329,41,여,20,3,1,3,3,2,6,5,1,3,2,1,1
e000331,26,여,30,3,6,5,4,3,5,6,3,2,1,10,0
e000332,28,남,20,4,1,1,4,7,1,7,1,9,3,1,1
e000334,28,여,20,3,3,3,6,3,2,6,7,3,7,2,1
e000335,41,여,30,4,2,1,3,4,2,5,5,5,3,1,1
