city_id,item_name,region,features,avg_stay_duration,season_preference,motive_match
CTY_GANGWON,강원도,강원권,식음료;자연;쇼핑,2.03,Summer,1;10;11;12;13;2;21
CTY_GYEONGGI,경기도,수도권,식음료;쇼핑;자연,1.56,Summer,1;10;11;12;13;2;21
CTY_GYEONGNAM,경상남도,영남권,식음료;자연;산책,1.88,Summer,1;10;11;12;13;2;21
CTY_GYEONGBUK,경상북도,영남권,식음료;쇼핑;자연,1.85,Summer,1;10;11;12;13;2;21
CTY_GWANGJU,광주광역시,호남권,식음료;쇼핑;쇼핑,1.91,Summer,1;10;11;12;2;21;22
CTY_DAEGU,대구광역시,영남권,식음료;쇼핑;쇼핑,1.78,Summer,1;10;11;12;13;2;21
CTY_DAEJEON,대전광역시,충청권,식음료;쇼핑;쇼핑,1.74,Summer,1;10;11;12;13;2;21
CTY_BUSAN,부산광역시,영남권,식음료;쇼핑;기타,1.99,Summer,1;10;11;12;13;2;21
CTY_SEOUL,서울특별시,수도권,식음료;쇼핑;문화,1.68,Summer,1;10;11;12;13;2;21
CTY_SEJONG,세종특별자치시,충청권,식음료;쇼핑;역사,1.33,Fall,1;10;11;12;13;2;21
CTY_ULSAN,울산광역시,영남권,식음료;쇼핑;산책,1.61,Summer,1;10;11;12;13;2;21
CTY_INCHEON,인천광역시,수도권,식음료;자연;쇼핑,1.77,Summer,1;10;11;12;13;2;21
CTY_JEONNAM,전라남도,호남권,식음료;자연;쇼핑,2.1,Summer,1;10;11;12;13;2;21
CTY_JEONBUK,전라북도,호남권,식음료;쇼핑;역사,2.03,Summer,1;10;11;12;13;2;21
CTY_JEJU,제주특별자치도,제주권,식음료;자연;쇼핑,3.56,Summer,1;10;11;12;13;2;21
CTY_CHUNGNAM,충청남도,충청권,식음료;자연;쇼핑,1.75,Summer,1;10;11;12;13;2;21
CTY_CHUNGBUK,충청북도,충청권,식음료;자연;쇼핑,1.94,Summer,1;10;11;12;13;2;21
