place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2304300002,화성 관광열차 안내소 연무대 매표소,동대문종합시장 악세서리부자재시장,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;3;4;5;6;7,6.0,Spring,
2304300003,창룡문,창룡문,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;2;3;4;5;6;7,7.0,Spring,
2304300004,수원 화성 화홍문,수원화성 화홍문,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;2;3;4;5;7,6.0,Spring,
2304300002,청량리역 경춘선,청량리역 경춘선,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;3;4;5;6;7,6.0,Spring,
2304300003,청평역 경춘선,청평(신)역,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2304300004,경춘선 자전거길,경춘선자전거길,Unknown,자연관광지,실외,1;2;3;4;5;7,6.0,Spring,
2304300005,베이커리 시어터,베이커리 씨어터,Unknown,식당/카페,실내,1;5;7,3.0,Spring,
2304300006,백암천,백암천자판기,Unknown,기타,Unknown,1;2;5;6;7,5.0,Spring,
2304300007,자시오 잣 주꾸미,자시오잣쭈꾸미,Unknown,식당/카페,실내,1;6,2.0,Spring,
2304300008,신창현 풍림아이원 1차 아파트,신창현풍림아이원1차아파트,Unknown,친구/친지집,Unknown,,,Spring,
2305010001,마석역 경춘선,마석역,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,7,1.0,Spring,
2305010002,청량리역,청량리역,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;99,4.0,Spring,
2304290002,농협안성팜랜드,안성팜랜드,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;3;4;5;6;7,7.0,Spring,
2304290003,스타필드 안성,스타필드 안성,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;7,6.0,Spring,
2304290004,대동국수 평택역점,대동국수 평택역점,Unknown,식당/카페,실내,1;2;3;4;5;6;99,7.0,Spring,
2304290005,편지,편지,Unknown,식당/카페,실내,1;2;3;4;5;6,6.0,Spring,
2304290007,호텔 프라하,호텔프라하,Unknown,숙소,Unknown,1;3;5;6,4.0,Spring,
2304300001,평택 초등학교,평택초등학교,Unknown,기타,Unknown,1;2;3;4;5,5.0,Spring,
2304300002,샤오바오 고덕점,샤오바오 고덕점,Unknown,식당/카페,실내,1;3;4;5;6;7,6.0,Spring,
2304300003,평택시 농업 생태원,평택시농업생태원,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;3;4;5;6;7,7.0,Spring,
2304300004,평택시 로컬푸드 재단,평택시로컬푸드재단,Unknown,상점,Unknown,1;2;3;4;5;7,6.0,Spring,
2304300005,시흥 하늘휴게소 양방향,시흥하늘휴게소 양방향,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;5;7,3.0,Spring,
2304300006,영남아파트,영남아파트,Unknown,집,Unknown,1;2;5;6;7,5.0,Spring,
2304290006,충무아트센터 대극장,충무아트센터,Unknown,"문화 시설(공연장, 영화관, 전시관 등)",Unknown,2;3;6,3.0,Spring,
2304290007,스탠더드 커피,스탠다드커피,Unknown,식당/카페,실내,1;3;5;6,4.0,Spring,
2304290008,연신내 칼국수,연신내칼국수,Unknown,식당/카페,실내,1;4,2.0,Spring,
2304290009,독립문,독립문,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;2;4;7,4.0,Spring,
2304300001,롯데월드 샤롯데씨어터,롯데월드 샤롯데씨어터,Unknown,"문화 시설(공연장, 영화관, 전시관 등)",Unknown,1;2;3;4;5,5.0,Spring,
2304300002,미사리밀빛초계국수 롯데월드점,미사리밀빛초계국수,Unknown,식당/카페,실내,1;3;4;5;6;7,6.0,Spring,
2304300003,롯데월드 샤롯데씨어터,롯데월드 샤롯데씨어터,Unknown,"문화 시설(공연장, 영화관, 전시관 등)",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2304280001,사무실,,경남,사무실,Unknown,,,Spring,
2304280002,서울역 1호선,서울역 1호선,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;7,6.0,Spring,
2304280003,삼환아파트,삼환아파트,Unknown,친구/친지집,Unknown,1;2;6;7,4.0,Spring,
2304290001,인사동 문화의 거리,인사동 문화의거리,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5,5.0,Spring,
2304290002,꽃밥에 피다,꽃밥에피다,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2304290003,후후 라운지,후후라운지,Unknown,체험 활동 관광지,Unknown,1;2;3;4;5;7,6.0,Spring,
2304290004,IFC 몰,IFC몰,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;6;99,7.0,Spring,
2304290006,삼환아파트,삼환아파트,Unknown,친구/친지집,Unknown,2;3;6,3.0,Spring,
2304300001,"서울랜드, 국립현대미술관",서울랜드,경기,체험 활동 관광지,Unknown,1;2;3;4;5,5.0,Spring,
2304300002,동원 홈 푸드라운지 국립 현대미술관점,동원홈푸드라운지 국립현대미술관점,Unknown,식당/카페,실내,1;3;4;5;6;7,6.0,Spring,
2304300003,광명역,KTX광명역,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2304300004,삼진 어묵 부산역 광장점,삼진어묵 부산역광장점,Unknown,상점,Unknown,1;2;3;4;5;7,6.0,Spring,
2304300005,김해 율하시티프라디움아파트,김해율하시티프라디움아파트,Unknown,집,Unknown,1;5;7,3.0,Spring,
2304280002,정안 알밤 휴게소 천안 방향,정안알밤휴게소 천안방향,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;7,6.0,Spring,
2304280003,파주 프리미엄 아울렛,파주프리미엄아울렛,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;6;7,4.0,Spring,
2304280004,이마트 파주점,이마트 파주점,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5,5.0,Spring,
2304280005,해브펀 캠핑 어라운드,해브펀캠핑어라운드,Unknown,숙소,Unknown,4;5;99,3.0,Spring,
2304290001,이케아 광명점,이케아 광명점,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5,5.0,Spring,
2304290002,지중해마을,지중해마을,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;3;4;5;6;7,7.0,Spring,
2305010002,에버랜드,BHC치킨 에버랜드점,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;3;99,4.0,Spring,
2304280002,스타필드 코엑스몰,스타필드 코엑스몰,Unknown,"문화 시설(공연장, 영화관, 전시관 등)",Unknown,1;2;3;4;5;7,6.0,Spring,
2304280003,본가,,서울,집,Unknown,1;2;6;7,4.0,Spring,
2304280004,정안 알밤 휴게소 천안 방향,정안알밤휴게소 천안방향,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5,5.0,Spring,
2304290002,서울어린이대공원,서울어린이대공원,Unknown,"산책로, 둘레길 등",실외,1;2;3;4;5;6;7,7.0,Spring,
2304290003,스타벅스 아차산역,스타벅스,Unknown,식당/카페,실내,1;2;3;4;5;7,6.0,Spring,
2304290004,본가,,서울,친구/친지집,Unknown,1;2;3;4;5;6;99,7.0,Spring,
2304300001,명륜 진사갈비 서울 중곡점,명륜진사갈비중곡점,Unknown,식당/카페,실내,1;2;3;4;5,5.0,Spring,
2304300002,에인절 코인 노래연습장 건대점,엔젤코인노래연습장 건대점,Unknown,"문화 시설(공연장, 영화관, 전시관 등)",Unknown,1;3;4;5;6;7,6.0,Spring,
2304300003,코지에 FunCity,FunCity,Unknown,"문화 시설(공연장, 영화관, 전시관 등)",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2304300004,엑스 클라임 건대점,엑스크라임 건대점,Unknown,기타,Unknown,1;2;3;4;5;7,6.0,Spring,
2304300005,아웃 닭 건대점,아웃닭 건대점,Unknown,식당/카페,실내,1;5;7,3.0,Spring,
2304300006,서피 동파,서피동파,Unknown,식당/카페,실내,1;2;5;6;7,5.0,Spring,
2304300007,에코 코인 노래연습장,에코코인노래연습장,Unknown,기타,Unknown,1;6,2.0,Spring,
2304300008,본가,,서울,친구/친지집,Unknown,,,Spring,
2305010002,합정옥,합정옥,Unknown,식당/카페,실내,1;2;3;99,4.0,Spring,
2305010003,동양 방앗간,동양방앗간,Unknown,자연관광지,실외,1;7,2.0,Spring,
2305010004,북촌 한옥마을,"북촌로,북촌한옥마을",Unknown,자연관광지,실외,1;4;6,3.0,Spring,
2305010005,낙원악기상가,낙원악기상가,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2,2.0,Spring,
2305010006,본가,,서울,친구/친지집,Unknown,4;5,2.0,Spring,
2304290002,현대 프리미엄 아울렛 김포점,현대프리미엄아울렛 김포점,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;6;7,7.0,Spring,
2304290003,롯데몰 김포공항점,롯데몰 김포공항점,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;7,6.0,Spring,
2304290002,해솔마을 7단지 롯데캐슬 아파트,해솔마을7단지롯데캐슬아파트,Unknown,집,Unknown,1;2;3;4;5;6;7,7.0,Spring,
2304290003,미소야 일산 화정점,미소야 일산화정점,Unknown,식당/카페,실내,1;2;3;4;5;7,6.0,Spring,
2304290004,고양어린이 박물관,고양어린이박물관,Unknown,체험 활동 관광지,Unknown,1;2;3;4;5;6;99,7.0,Spring,
2304290002,본가신숙희 진골막국수,본가신숙희진골막국수,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2304290003,아침고요 수목원,아침고요수목원,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;3;4;5;7,6.0,Spring,
2304290004,나무 아래 오후 N,나무아래오후N,경기,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;6;99,7.0,Spring,
2304290005,파르티아 워터하우스,파로티아워터하우스,Unknown,숙소,Unknown,1;2;3;4;5;6,6.0,Spring,
2304290006,가평군 농협 하나로마트 설악점,가평군농협하나로마트 설악점,Unknown,상점,Unknown,2;3;6,3.0,Spring,
2304290007,파르티아 워터하우스,파로티아워터하우스,Unknown,숙소,Unknown,1;3;5;6,4.0,Spring,
2304300001,연청 국장,연청국장,Unknown,식당/카페,실내,1;2;3;4;5,5.0,Spring,
2304300002,가평 양떼목장,가평양떼목장,Unknown,체험 활동 관광지,Unknown,1;3;4;5;6;7,6.0,Spring,
2304300003,윤명로,,Unknown,기타,Unknown,1;2;3;4;5;6;7,7.0,Spring,
2304300004,카페 아우라,카페아우라,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;7,6.0,Spring,
2304300005,화도 졸음쉼터 양양 방향,화도졸음쉼터 양양방향,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;5;7,3.0,Spring,
2304290002,남도 사골 순댓국 본점,남도사골순대국 본점,Unknown,상점,Unknown,1;2;3;4;5;6;7,7.0,Spring,
2304290003,스타벅스 화성 남양 DT점,스타벅스 화성남양DT점,Unknown,식당/카페,실내,1;2;3;4;5;7,6.0,Spring,
2304290004,호텔 헤르메스,호텔헤르메스,Unknown,숙소,Unknown,1;2;3;4;5;6;99,7.0,Spring,
2304290005,마시다 초밥 이자카야,마시따초밥&이자카야,Unknown,식당/카페,실내,1;2;3;4;5;6,6.0,Spring,
2304290006,준코인 노래연습장,쭌코인노래연습장,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,2;3;6,3.0,Spring,
2304290007,호텔 헤르메스,호텔헤르메스,Unknown,숙소,Unknown,1;3;5;6,4.0,Spring,
2304290008,현대자동차 남양기술연구소 후문,현대자동차 남양기술연구소 후문,Unknown,기타,Unknown,1;4,2.0,Spring,
2304290009,서울역,도원스타일 서울역점,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;4;7,4.0,Spring,
2304300001,머슴 고기 화성 시청 본점,머슴고기 화성시청본점,Unknown,식당/카페,실내,1;2;3;4;5,5.0,Spring,
2304300002,티 카페 차희,티카페차희,Unknown,식당/카페,실내,1;3;4;5;6;7,6.0,Spring,
2304300003,남양성모성지,남양성모성지,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;2;3;4;5;6;7,7.0,Spring,
2304300004,현대자동차 남양기술연구소 후문,현대자동차 남양기술연구소 후문,Unknown,기타,Unknown,1;2;3;4;5;7,6.0,Spring,
2304300005,수원역,수원역,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;5;7,3.0,Spring,
2304300006,용산역,근대골목도나스 용산역점,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;5;6;7,5.0,Spring,
2304290002,향유 갈비,향유갈비,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2304290003,허브아일랜드,허브아일랜드,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;3;4;5;7,6.0,Spring,
2304290004,소요산,소요산,Unknown,자연관광지,실외,1;2;3;4;5;6;99,7.0,Spring,
2304290002,서울 시티투어버스,서울시티투어버스,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;2;3;4;5;6;7,7.0,Spring,
2304290003,나주 소 나주곰탕 경복궁점,나주소나주곰탕 경복궁점,Unknown,식당/카페,실내,1;2;3;4;5;7,6.0,Spring,
2304290004,광화문광장,광화문광장,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;2;3;4;5;6;99,7.0,Spring,
2304290005,스타벅스 광화문점,스타벅스 광화문점,Unknown,식당/카페,실내,1;2;3;4;5;6,6.0,Spring,
2304290006,경복궁,경복궁,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,2;3;6,3.0,Spring,
2304300003,꼬꼬 오리주물럭,꼬꼬오리주물럭,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2304300004,캐널시티,캐널시티,경기,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;7,6.0,Spring,
2304300005,포지티브 스페이스 566,포지티브스페이스566,Unknown,식당/카페,실내,1;5;7,3.0,Spring,
2304290002,용산역,근대골목도나스 용산역점,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2304290003,가평역 경춘선,가평역 경춘선,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;7,6.0,Spring,
2304290004,하색리,,Unknown,친구/친지집,Unknown,1;2;3;4;5;6;99,7.0,Spring,
2304300002,강촌 아파트,강촌아파트,Unknown,집,Unknown,1;3;4;5;6;7,6.0,Spring,
2304300003,오서방네 조개찜,오서방네조개찜,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2304300004,카페 가우디,카페가우디,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;7,6.0,Spring,
2304280001,사무실,,서울,사무실,Unknown,,,Spring,
2304280002,가인,카페가인,Unknown,식당/카페,실내,1;2;3;4;5;7,6.0,Spring,
2304280003,동백정 팔탄점,동백정 팔탄점,Unknown,식당/카페,실내,1;2;6;7,4.0,Spring,
2304280009,호텔 더 메이,호텔 더 메이,Unknown,숙소,Unknown,1;5,2.0,Spring,
2304290001,강촌 아파트,강촌아파트,Unknown,집,Unknown,1;2;3;4;5,5.0,Spring,
2304290002,월문온천,월문온천,Unknown,기타,Unknown,1;2;3;4;5;6;7,7.0,Spring,
2304290003,한우 강국,한우강국,Unknown,식당/카페,실내,1;2;3;4;5;7,6.0,Spring,
2304290004,더 포레 베이커리,더포레,Unknown,식당/카페,실내,1;2;3;4;5;6;99,7.0,Spring,
2304290005,모던하우스 용산 아이파크몰점,모던하우스 용산아이파크점,Unknown,상점,Unknown,1;2;3;4;5;6,6.0,Spring,
2304290003,SK엔크린 서울 하이패스센터 LPG 충전소,SKLPG하이패스센터충전소,Unknown,상점,Unknown,1;2;3;4;5;7,6.0,Spring,
2304290004,에버랜드 매표소,BHC치킨 에버랜드점,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;3;4;5;6;99,7.0,Spring,
2304290005,에버랜드 판다월드,에버랜드 판다월드,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;3;4;5;6,6.0,Spring,
2304290006,에버랜드 사파리월드,에버랜드 사파리월드,Unknown,"테마시설(놀이공원, 워터파크)",실외,2;3;6,3.0,Spring,
2304290007,에버랜드 T 익스프레스,BHC치킨 에버랜드점,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;3;5;6,4.0,Spring,
2304290008,에버랜드 장미원,에버랜드 장미원,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;4,2.0,Spring,
2304290009,포메인 에버랜드 직영점,포메인,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;4;7,4.0,Spring,
2304280001,사무실,,Unknown,사무실,Unknown,,,Spring,
2304280002,드림하우스,드림하우스,Unknown,친구/친지집,Unknown,1;2;3;4;5;7,6.0,Spring,
2304280003,드림하우스,드림하우스,Unknown,친구/친지집,Unknown,1;2;6;7,4.0,Spring,
