place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2304280002,가인,모항항수산물직판장,경기도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Spring,1;10;12;21;22
2304280003,153구포국수 덕천점,153구포국수 덕천점,강원도,식당/카페,실내,11,5,Spring,1;10;12;2;21
2304280004,백담사,백담사,강원도,식당/카페,실내,11,7,Spring,1;10;12;21;22
2304280005,국립현대미술관 청주,국립현대미술관 청주,부산광역시,"상업지구(거리, 시장, 쇼핑시설)",실내,4,5,Spring,10;12;2;21;22
2304290001,바다회수산,바다회수산,강원도,식당/카페,실내,11,6,Spring,1;10;12;2;21
2304290002,W 웨딩,감자바우,대전광역시,식당/카페,실내,11,6,Spring,1;10;12;2;21
2304290004,IFC 몰,BHC치킨 에버랜드점,강원도,식당/카페,실내,11,7,Spring,1;10;11;2;21
2304290005,경암동 철길마을,경암동철길마을,강원도,식당/카페,실내,11,7,Spring,10;11;2;21;22
2304290006,AK플라자 수원,AK플라자 AKTown점,부산광역시,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Spring,11;2;21;22;23
2304290008,GS 더 프레시 경성 부경대점,GS더프레시 경성부경대점,전라남도,식당/카페,실내,11,6,Spring,11;2;21;22;24
2304290010,AK플라자 수원,AK플라자 AKTown점,경기도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Spring,3;4
2304300001,고 고리 식당,고고리,경기도,식당/카페,실내,11,6,Spring,1;10;11;12;2
2304300002,가평 양떼목장,가평양떼목장,강원도,식당/카페,실내,11,7,Spring,1;10;11;12;2
2304300003,MRNW,FunCity,경상북도,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실외,2,6,Spring,1;10;11;12;13
2304300004,25시 LPG 충전소,S-OIL25시LPG충전소,강원도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Spring,1;10;11;12;2
2304300006,대전 오월드,대전오월드,경기도,자연관광지,실외,1,7,Spring,1;10;11;12;2
2305010001,공임 나라 군산 대야점,공임나라 군산대야점,강원도,자연관광지,실외,1,6,Spring,1;11;12;13;2
2305010002,남경 막국수,BHC치킨 에버랜드점,전라남도,식당/카페,실내,11,7,Spring,1;10;11;12;13
2305010003,CU 서산 해미읍성점,CU서산해미읍성점,전라남도,자연관광지,실외,1,6,Spring,1;10;11;12;13
2305150003,강화 루지,강화루지,충청북도,식당/카페,실내,11,6,Spring,1;11;2;21;22
2305150007,더 리터 정읍 상동 점,더리터 정읍상동점,대구광역시,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Spring,1;10;11;2;21
2305150008,가네코 롯데백화점 영등포점,간코롯데영등포매니지먼트,대구광역시,식당/카페,실내,11,6,Spring,1;10;11;2;21
2305160003,꽃동 게장 1번가,꽃돌게장1번가,전라북도,식당/카페,실내,11,6,Spring,1;10;11;2;21
2305160004,강구안 및 통영중앙시장,고려대학교 서울캠퍼스,강원도,식당/카페,실내,11,6,Spring,1;10;11;12;2
2305160005,강릉동부시장,강릉동부시장,경상남도,식당/카페,실내,11,6,Spring,1;10;11;12;2
2305160012,돌담 통닭,돌담통닭,전라북도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,2,Spring,1;11;22;24;26
2305170002,CU 제주성 지점,CU제주성지점,강원도,식당/카페,실내,11,6,Spring,1;10;11;12;2
2305170003,5.18기념공원,5.18기념공원,경기도,식당/카페,실내,11,6,Spring,1;10;11;12;2
