place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2304280002,가인,모항항수산물직판장,경기도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Spring,1;10;12;21;22
2304280003,153구포국수 덕천점,153구포국수 덕천점,강원도,식당/카페,실내,11,5,Spring,1;10;12;2;21
2304280004,백담사,백담사,강원도,식당/카페,실내,11,7,Spring,1;10;12;21;22
2304280005,국립현대미술관 청주,국립현대미술관 청주,부산광역시,"상업지구(거리, 시장, 쇼핑시설)",실내,4,5,Spring,10;12;2;21;22
2304280006,국립세종 도서관,국립세종도서관,Unknown,식당/카페,실내,11,6,Spring,10;12;2;21;22
2304280007,비올라,비올라,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실외,2,6,Spring,10;12;21;22;27
2304280008,농민 순대,농민순대,Unknown,식당/카페,실내,11,4,Spring,2;5;6
2304280009,한화생명 이글스 파크,한화생명이글스파크,Unknown,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",실외,5,9,Spring,2;5;6
2304290001,바다회수산,바다회수산,강원도,식당/카페,실내,11,6,Spring,1;10;12;2;21
2304290002,W 웨딩,감자바우,대전광역시,식당/카페,실내,11,6,Spring,1;10;12;2;21
2304290003,SK엔크린 서울 하이패스센터 LPG 충전소,CU 오색터미널점,Unknown,식당/카페,실내,11,7,Spring,1;10;11;12;2
2304290004,IFC 몰,BHC치킨 에버랜드점,강원도,식당/카페,실내,11,7,Spring,1;10;11;2;21
2304290005,경암동 철길마을,경암동철길마을,강원도,식당/카페,실내,11,7,Spring,10;11;2;21;22
2304290006,AK플라자 수원,AK플라자 AKTown점,부산광역시,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Spring,11;2;21;22;23
2304290007,CU 속초 청초호점,BHC치킨 에버랜드점,Unknown,식당/카페,실내,11,5,Spring,11;2;21;22;23
2304290008,GS 더 프레시 경성 부경대점,GS더프레시 경성부경대점,전라남도,식당/카페,실내,11,6,Spring,11;2;21;22;24
2304290009,88켄터키 치킨호프 한옥마을점,88켄터키치킨호프 한옥마을점,Unknown,자연관광지,실외,1,6,Spring,11;2;22;3;4
2304290010,AK플라자 수원,AK플라자 AKTown점,경기도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Spring,3;4
2304290011,아트박스 수원 AK 점,아트박스 수원AK점,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,4,4,Spring,4
2304290012,명동거리,명동거리,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,4,7,Spring,3
2304290016,송이네,송이네,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,4,1,Spring,3
2304290017,이마트 에브리데이 신원 당적,이마트에브리데이 신원당점,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,4,1,Spring,3
2304300001,고 고리 식당,고고리,경기도,식당/카페,실내,11,6,Spring,1;10;11;12;2
2304300002,가평 양떼목장,가평양떼목장,강원도,식당/카페,실내,11,7,Spring,1;10;11;12;2
2304300003,MRNW,FunCity,경상북도,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실외,2,6,Spring,1;10;11;12;13
2304300004,25시 LPG 충전소,S-OIL25시LPG충전소,강원도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Spring,1;10;11;12;2
2304300005,CU 강릉 소금강 삼거리점,CU강릉소금강삼거리점,Unknown,식당/카페,실내,11,6,Spring,1;10;11;12;2
