place_id,여행지명,city,분류,VISIT_START_YMD,activity_ids,activity_type,activity_level,season_preference,emotion_match
2304300002,화성 관광열차 안내소 연무대 매표소,,,2023-04-30,1;2;3;4;5;6;7,실내,10,Spring,
2304300003,창룡문,,,2023-04-30,1;2;3;4;5;6;7,실내,10,Spring,
2304300004,수원 화성 화홍문,,,2023-04-30,1;2;3;4;5;6;7,실내,10,Spring,
2304300005,베이커리 시어터,,,2023-04-30,1;3;4;5;7,실내,10,Spring,
2304300006,백암천,,,2023-04-30,1;2;3;4;5;6;7,실내,10,Spring,
2304300007,자시오 잣 주꾸미,,,2023-04-30,1;2;3;5;6;99,실내,10,Spring,
2304290002,농협안성팜랜드,,,2023-04-29,1;2;3;4;5;6;7;99,실내,10,Spring,
2304290003,스타필드 안성,,,2023-04-29,1;2;3;4;5;6;7,실내,10,Spring,
2304290004,대동국수 평택역점,,,2023-04-29,1;2;3;4;5;6;7;99,실내,10,Spring,
2304290005,편지,,,2023-04-29,1;2;3;4;5;6;7,실내,10,Spring,
2304290007,호텔 프라하,,,2023-04-29,1;2;3;5;6;99,실내,10,Spring,
2304300001,평택 초등학교,,,2023-04-30,1;2;3;4;5;6,실내,10,Spring,
2304290006,충무아트센터 대극장,,,2023-04-29,1;2;3;4;6;7,실내,10,Spring,
2304290008,연신내 칼국수,,,2023-04-29,1;2;3;4;5;7;99,실내,10,Spring,
2304290009,독립문,,,2023-04-29,1;2;4;7,실내,8,Spring,
2304290001,인사동 문화의 거리,,,2023-04-29,1;2;3;4;5;7,실내,10,Spring,
2304280003,파주 프리미엄 아울렛,,,2023-04-28,1;2;3;4;5;6;7,실내,10,Spring,
2304280004,이마트 파주점,,,2023-04-28,1;2;3;4;5;6;7,실내,10,Spring,
2304280005,해브펀 캠핑 어라운드,,,2023-04-28,1;2;3;4;5;6;99,실내,10,Spring,
2305010002,에버랜드,,,2023-05-01,1;2;3;4;5;6;7;99,실내,10,Spring,
2304280002,스타필드 코엑스몰,,,2023-04-28,1;2;3;4;5;7,실내,10,Spring,
2305010003,동양 방앗간,,,2023-05-01,1;2;3;4;5;6;7,실내,10,Spring,
2305010004,북촌 한옥마을,,,2023-05-01,1;4;5;6;7;99,실내,10,Spring,
2305010005,낙원악기상가,,,2023-05-01,1;2;4;5,실내,8,Spring,
2304280009,호텔 더 메이,,,2023-04-28,1;3;5,실내,6,Spring,
2304280006,효자손 왕만두,,,2023-04-28,1;4;5;6,실내,8,Spring,
2304280007,숭례문,,,2023-04-28,1;4;5;6,실내,8,Spring,
2305010006,수기 해변,,,2023-05-01,1;2;4;5,실내,8,Spring,
2305010008,예단포둘레길,,,2023-05-01,4,실외,2,Spring,
2305280005,링크 아트센터,,,2023-05-28,1;2;3;4;5;6;7;99,실내,10,Spring,
2305280006,일미리 금계 찜닭 대학로점,,,2023-05-28,1;2;3;4;5;6;7;99,실내,10,Spring,
2305280007,예스24 스테이지,,,2023-05-28,1;2;3;4;5;6;7;99,실내,10,Spring,
2305190003,한화리조트 용인 베잔송,,,2023-05-19,1;2;3;4;5;6;7;99,실내,10,Spring,
2305200001,에버랜드,,,2023-05-20,1;2;3;4;5;6;7,실내,10,Spring,
2305200002,봉화 회관,,,2023-05-20,1;2;3;4;5;6;7;99,실내,10,Spring,
2305210001,두부 마당 포곡 본점,,,2023-05-21,1;2;3;4;5;6;7,실내,10,Spring,
2305230002,개포동 근린공원,서울특별시,,2023-05-23,1;2;3;4;5;6;7;99,실내,10,Spring,
2305230003,백년 교동 짬뽕 개포점,,,2023-05-23,1;2;3;4;5;6;7;99,실내,10,Spring,
2305230004,플랑크,,,2023-05-23,1;2;3;4;5;6;7;99,실내,10,Spring,
2305230005,오리지널 팬케이크 하우스 잠실점,,,2023-05-23,1;2;3;4;5;7;99,실내,10,Spring,
2305230006,류 게스트하우스,,,2023-05-23,1;2;3;4;5;7;99,실내,10,Spring,
2305240001,런던 베이글 뮤지엄 도산점,,,2023-05-24,1;2;3;4;5;6;7,실내,10,Spring,
2305240002,호남 식당,,,2023-05-24,1;2;3;4;5;6;7;99,실내,10,Spring,
