VISIT_AREA_TYPE_CD,VISIT_AREA_NM
9,안성휴게소 부산방향
9,금강휴게소
5,김천종합운동장
9,입장 거봉포도 휴게소 서울 방향
2,화성 관광열차 안내소 연무대 매표소
2,창룡문
2,수원 화성 화홍문
11,아주 매운 공주 칼국수 주꾸미구이 신탄진점
9,청주 휴게소 서울 방향
24,갤럭시호텔
1,월미도
6,월미테마파크
11,어반 정원
11,월미도 가락국수 월미도점
13,개항e지 투어
11,인천 맥주
11,도래순
24,호텔 스카이파크 인천 송도
5,송도센트럴파크 이스트보트하우스
6,더 위크 앤리조트 워터파크
24,더 위크앤 리조트
1,을왕리 해수욕장
11,호남 횟집
11,경복궁 삼계탕 인천 송도점
3,G 타워
9,청량리역 경춘선
9,청평역 경춘선
1,경춘선 자전거길
11,베이커리 시어터
12,백암천
11,자시오 잣 주꾸미
9,마석역 경춘선
9,청량리역
6,농협안성팜랜드
4,스타필드 안성
11,대동국수 평택역점
11,편지
24,호텔 프라하
12,평택 초등학교
11,샤오바오 고덕점
6,평택시 농업 생태원
10,평택시 로컬푸드 재단
9,시흥 하늘휴게소 양방향
9,진주 시외버스터미널
9,서울 남부터미널
11,롯데리아 남부터미널점
10,다이소 남부터미널점
3,충무아트센터 대극장
11,스탠더드 커피
11,연신내 칼국수
2,독립문
3,롯데월드 샤롯데씨어터
11,미사리밀빛초계국수 롯데월드점
9,서울고속버스터미널(경부)
9,서울역 1호선
4,인사동 문화의 거리
11,꽃밥에 피다
13,후후 라운지
4,IFC 몰
11,교대 이층집 여의도점
13,"서울랜드, 국립현대미술관"
11,동원 홈 푸드라운지 국립 현대미술관점
9,광명역
10,삼진 어묵 부산역 광장점
9,정안 알밤 휴게소 천안 방향
4,파주 프리미엄 아울렛
4,이마트 파주점
24,해브펀 캠핑 어라운드
4,이케아 광명점
6,지중해마을
6,에버랜드
3,스타필드 코엑스몰
9,전주 고속버스터미널
11,아차산 김가네 맛집
7,서울어린이대공원
11,스타벅스 아차산역
11,명륜 진사갈비 서울 중곡점
3,에인절 코인 노래연습장 건대점
3,코지에 FunCity
12,엑스 클라임 건대점
11,아웃 닭 건대점
11,서피 동파
12,에코 코인 노래연습장
11,합정옥
1,동양 방앗간
